length
3419
3404
3374
3342
3329
3299
3286
3259
3254
3249
3243
3139
3115
3096
3077
3062
3005
2990
2979
2928
2857
2839
2789
2785
2760
2759
2713
2674
2639
2567
2563
2533
2410
2312
2297
2281
2272
2259
2250
2244
2240
2234
2227
2217
2210
2173
2152
2136
2097
2079
2024
2020
2001
1958
1948
1943
1896
1881
1873
1739
1690
1678
1661
1638
1615
1607
1588
1508
1476
1450
1430
1386
1350
1327
1298
1288
1273
1249
1232
1224
1220
1210
1171
1166
1138
1129
1125
1087
1085
1075
1071
1068
1058
1057
1034
1011
995
985
885
790
769
737
713
712
709
685
660
629
560
529
449
448
426
405
381
373
346
312
279
271
244
218
197
182
176
146
145
141
141
137
130
129
127
123
122
121
117
111
111
110
106
105
105
101
98
98
97
94
93
91
89
83
83
83
80
80
79
79
78
78
77
76
74
74
72
72
70
70
70
69
69
69
67
67
65
64
63
62
60
59
59
58
57
56
56
55
55
54
54
54
54
53
52
52
52
51
51
50
50
48
47
47
45
45
45
45
45
44
44
44
43
43
43
42
42
42
42
41
40
40
40
39
39
39
38
38
37
37
37
37
36
35
35
35
34
34
34
34
33
33
33
33
33
32
32
31
31
31
31
31
31
30
29
29
29
29
29
29
29
29
28
28
28
28
28
28
28
28
28
27
27
27
27
27
26
26
26
26
26
26
25
25
25
25
24
24
24
24
24
23
23
23
23
23
23
22
22
22
22
22
22
21
21
21
21
21
20
20
20
20
20
20
20
20
20
19
19
19
19
18
18
17
17
17
17
17
17
16
16
16
16
16
16
16
15
15
15
15
15
15
15
15
15
15
15
14
14
14
14
14
14
14
13
13
13
13
13
13
13
13
13
13
12
12
12
12
12
11
11
11
11
11
11
11
11
10
10
10
10
10
10
10
10
10
10
9
9
9
9
9
9
8
8
8
8
8
8
8
8
7
7
7
7
7
7
7
7
7
6
6
6
6
6
6
6
6
6
6
6
6
6
5
5
5
5
5
5
5
5
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
2
2
2
2
2
2
2
2
2
2
2
2
1
